sys_data_source_nm,sys_data_schema_nm,sys_data_source_table_nm,sys_insert_date,sys_insert_owner_corp_id,player_name,country_name,country_code,all_time_league_goals,all_time_league_appearances,international_caps,international_goals,value,strength,stamina,pace,natural_fitness,jumping_reach,balance,agility,work_rate,vision,teamwork,positioning,off_the_ball,leadership,flair,determination,decisions,concentration,composure,bravery,anticipation,technique,corners,dribbling,finishing,first_touch,free_kicks,heading,long_shots,long_throws,marking,tackling,passing,penalties,aggression,acceleration
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Essam El Hadary,Egypt,EGY,1,496,158,0,�155K,5,10,7,10,13,15,14,13,7,5,16,1,17,8,17,6,11,14,19,14,9,4,1,1,10,8,8,1,3,3,1,6,9,17,6
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ahmed Fathy,Egypt,EGY,18,251,130,3,�155K,14,14,13,14,10,8,9,16,7,15,9,6,16,7,20,9,13,14,20,15,9,11,10,8,10,11,12,13,3,14,17,10,10,17,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ahmed Elmohamady,Egypt,EGY,28,334,84,2,�8.25M,9,14,15,16,13,11,13,13,13,13,8,11,6,11,8,10,9,10,9,9,12,12,15,10,13,8,14,9,12,9,10,10,9,14,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mohamed Elneny,Egypt,EGY,7,151,63,5,�24M,15,16,13,18,13,15,12,16,13,16,13,10,11,8,14,14,15,16,14,14,15,8,11,6,14,8,12,14,8,13,15,14,14,12,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mohamed Salah,Egypt,EGY,56,180,57,36,�75M,13,15,18,14,7,15,17,12,14,13,7,19,5,14,16,15,15,15,10,15,18,11,19,17,15,9,11,15,3,8,8,14,12,9,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mohamed Abdel Shafy,Egypt,EGY,5,158,54,2,�2.1M,12,14,14,12,10,11,15,15,11,13,11,14,11,12,5,12,9,10,13,12,14,11,12,6,13,11,8,10,12,10,13,12,12,14,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ahmed Hegazi,Egypt,EGY,1,99,47,1,�14M,15,13,12,12,16,15,9,15,10,13,14,7,13,11,15,12,12,13,15,15,10,5,7,5,10,6,16,8,13,15,15,11,5,15,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Abdallah Said,Egypt,EGY,97,351,40,6,�200K,10,12,13,8,8,11,14,11,15,14,6,10,6,14,10,12,8,9,11,14,13,13,9,11,15,14,10,14,2,4,8,15,14,9,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Shikabala,Egypt,EGY,43,177,32,2,�140K,14,9,13,13,14,11,13,7,14,6,6,13,7,14,7,8,8,7,7,13,16,14,15,12,15,13,9,12,6,6,4,13,12,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mahmoud Hassan,Egypt,EGY,13,92,28,2,�5.25M,8,10,14,14,11,13,13,14,12,10,7,14,12,14,13,12,11,11,11,14,14,13,14,12,14,9,8,13,4,7,7,14,13,12,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ramadan Sobhi,Egypt,EGY,15,86,27,1,�12.5M,11,13,14,15,13,10,15,15,15,15,9,15,6,17,19,11,10,12,18,16,14,11,14,10,13,9,11,10,4,5,9,12,13,14,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Omar Gaber,Egypt,EGY,11,140,25,0,�750K,11,15,13,13,10,11,14,16,8,16,10,11,14,8,12,8,8,11,15,13,12,11,12,9,11,6,7,10,10,10,13,13,9,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Tarek Hamed,Egypt,EGY,1,88,25,0,�325K,14,17,10,17,11,14,13,15,4,13,15,9,13,7,9,9,11,12,14,15,8,8,4,5,10,8,12,11,7,13,15,13,10,15,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mahmoud Kahraba,Egypt,EGY,43,109,24,3,�110K,7,11,15,13,10,7,14,12,15,8,4,13,3,16,7,11,8,10,5,8,16,11,16,15,15,11,8,14,6,4,5,14,10,11,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marwan Mohsen,Egypt,EGY,29,132,24,4,�350K,15,11,11,14,17,14,12,14,8,14,7,13,11,7,19,8,11,15,18,12,14,3,10,14,14,8,17,10,4,4,12,11,18,14,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Sherif Ekramy,Egypt,EGY,0,274,23,0,�73K,17,11,6,11,15,13,11,10,2,13,10,4,12,3,11,6,6,8,18,8,3,3,2,3,2,1,4,3,1,3,1,7,2,16,6
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ali Gabr,Egypt,EGY,3,114,23,1,�325K,14,14,12,13,18,10,10,12,3,11,11,7,8,3,18,7,11,12,16,17,8,4,9,6,8,5,20,6,7,14,17,8,8,12,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Amr Warda,Egypt,EGY,12,64,19,0,�2.1M,8,12,13,12,8,10,14,12,13,8,7,13,6,16,12,9,8,11,9,12,16,13,15,13,15,12,13,13,6,7,7,13,14,8,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Saad Samir,Egypt,EGY,10,191,11,0,�300K,15,12,14,15,14,11,11,15,6,12,14,8,18,5,18,9,8,10,16,16,7,1,9,8,10,5,16,10,6,15,15,7,7,15,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Sam Morsy,Egypt,EGY,14,223,6,0,�2.5M,13,15,10,15,7,14,11,16,11,15,13,10,13,6,11,13,12,12,14,12,12,6,10,9,12,4,9,12,9,13,14,13,5,16,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ahmed El Shennawy,Egypt,EGY,0,96,5,0,�190K,15,14,10,16,13,7,9,11,4,8,16,3,11,5,15,7,18,13,17,12,1,7,2,2,1,10,1,3,2,3,2,1,2,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ayman Ashraf,Egypt,EGY,4,60,3,1,�33.5K,9,8,13,11,9,6,13,13,10,9,12,10,12,9,12,7,7,12,12,10,11,9,10,6,10,8,6,8,12,10,13,10,6,18,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mahmoud Hamdy,Egypt,EGY,1,66,1,0,�25K,16,11,12,11,14,8,5,13,2,11,7,2,6,2,12,5,9,8,18,6,7,1,2,5,3,1,13,5,3,15,15,7,3,18,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Gary Cahill,England,ENG,30,363,60,5,�12.75M,16,16,11,14,14,13,9,17,13,18,14,13,19,14,14,11,14,13,20,14,13,3,9,9,11,4,17,8,6,15,16,11,6,15,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jordan Henderson,England,ENG,25,261,40,0,�35M,14,18,14,18,12,13,13,18,14,17,14,14,16,13,18,15,14,15,14,14,14,12,12,11,15,11,11,12,4,13,14,16,10,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Raheem Sterling,England,ENG,31,159,39,2,�38.5M,9,14,17,15,4,14,16,13,12,14,8,14,4,15,13,13,12,13,13,15,15,10,16,13,14,10,5,9,9,7,11,13,7,13,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Danny Welbeck,England,ENG,38,178,39,16,�25M,14,15,15,15,14,15,15,16,12,15,8,14,4,15,14,14,12,12,14,13,14,5,14,14,13,4,13,8,3,6,6,12,10,11,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Kyle Walker,England,ENG,5,255,36,0,�36M,15,15,18,13,12,15,15,16,11,15,12,13,12,10,13,9,13,13,15,13,13,11,13,7,12,12,14,7,13,12,13,13,6,12,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ashley Young,England,ENG,60,378,35,7,�8.5M,10,15,15,15,7,12,15,16,9,15,12,13,10,14,12,13,14,10,6,11,13,14,12,10,14,14,5,13,3,9,11,12,12,7,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,John Stones,England,ENG,1,128,27,0,�41.5M,15,13,15,19,14,16,13,15,14,13,14,15,13,12,13,13,15,17,16,14,14,5,13,8,13,5,15,5,8,15,15,15,12,10,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Eric Dier,England,ENG,10,144,27,3,�40.5M,15,16,17,14,13,10,11,15,12,16,16,12,12,5,16,14,13,13,16,14,12,7,9,9,13,11,15,9,5,14,15,14,8,15,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Dele Alli,England,ENG,50,144,26,2,�48M,13,19,11,17,12,13,15,17,15,14,11,17,7,17,14,11,11,15,12,16,16,8,15,16,13,10,14,14,9,10,10,15,14,13,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Phil Jones,England,ENG,2,157,25,0,�29.5M,16,17,14,14,12,13,11,16,6,14,16,6,13,8,19,13,14,10,19,14,13,5,8,6,13,6,16,4,8,15,17,13,8,15,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Harry Kane,England,ENG,92,169,25,15,�73M,15,18,13,16,13,16,12,18,15,13,11,16,15,11,18,13,16,16,15,15,15,9,14,20,14,12,17,16,6,10,10,15,17,11,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jamie Vardy,England,ENG,185,348,22,7,�28.5M,14,17,18,16,11,12,12,17,12,17,5,14,10,12,17,12,15,13,17,13,13,7,12,16,13,7,12,10,5,3,13,12,16,17,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marcus Rashford,England,ENG,10,43,20,3,�42.5M,11,14,17,16,8,13,15,15,9,12,4,14,4,17,14,12,11,13,8,11,14,10,14,14,13,13,8,10,3,2,5,11,13,14,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Danny Rose,England,ENG,9,165,18,0,�26M,14,17,14,14,8,14,13,15,12,14,13,16,6,9,15,14,13,13,15,13,13,9,12,11,14,8,13,12,5,13,15,13,10,16,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jesse Lingard,England,ENG,16,98,13,1,�48M,9,17,16,16,5,13,16,18,12,16,8,17,5,16,16,12,12,13,13,12,15,10,15,14,15,7,6,11,3,5,6,13,11,15,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Fabian Delph,England,ENG,12,185,11,0,�17.5M,12,16,14,12,8,14,18,18,13,17,13,14,16,14,12,14,16,12,15,13,12,10,12,11,12,10,3,11,4,8,14,14,8,15,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jack Butland,England,ENG,0,147,8,0,�23M,12,14,11,15,14,12,18,10,10,12,11,1,9,3,15,11,13,14,14,12,10,4,2,3,6,9,1,3,2,3,3,9,1,10,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Kieran Trippier,England,ENG,7,230,8,0,�18M,13,18,14,14,9,14,13,16,13,16,13,14,11,8,14,14,12,13,13,13,14,11,11,8,15,13,9,10,10,11,14,13,5,12,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Harry Maguire,England,ENG,12,202,6,0,�20.5M,16,14,11,14,15,13,11,15,12,14,15,13,15,12,14,12,12,14,16,14,13,4,14,8,12,6,17,9,9,15,16,16,6,14,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ruben Loftus-Cheek,England,ENG,1,22,5,0,�14.75M,16,11,14,14,14,17,11,12,14,12,10,8,8,10,12,14,11,15,10,12,14,7,13,9,15,5,10,5,7,9,10,14,7,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jordan Pickford,England,ENG,0,147,4,0,�22M,13,13,8,8,14,12,14,11,13,10,14,3,14,3,14,13,14,12,15,14,12,3,2,2,11,8,8,1,2,3,2,15,3,16,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nick Pope,England,ENG,0,110,1,0,�14.5M,13,10,9,10,18,12,14,15,6,15,14,2,8,4,10,12,15,9,13,15,7,4,3,2,7,9,2,1,3,2,2,10,3,8,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Trent Alexander-Arnold,England,ENG,0,7,1,0,�13.25M,10,13,15,14,9,12,14,15,11,14,12,13,12,13,16,12,12,13,13,13,14,12,14,12,13,13,9,13,7,11,13,14,13,13,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Sergio Ramos,Spain,ESP,53,430,154,13,�49.5M,16,17,15,15,16,15,15,16,13,14,14,12,19,15,20,11,10,13,17,18,14,9,13,13,14,14,20,14,12,16,18,16,14,18,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Andres Iniesta,Spain,ESP,40,466,129,13,�1.8M,7,12,12,9,6,12,11,13,20,17,10,15,12,19,14,19,15,18,10,18,20,14,18,11,20,14,5,9,5,5,7,18,13,8,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,David Silva,Spain,ESP,70,422,123,35,�49M,8,13,13,13,5,19,17,14,19,15,8,18,10,19,15,18,15,17,11,14,19,13,18,12,19,12,7,12,7,5,9,19,12,10,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Sergio Busquets,Spain,ESP,8,305,105,2,�60M,13,16,12,13,14,9,12,16,16,19,17,11,10,9,16,18,18,18,13,19,15,8,12,9,16,8,13,10,8,16,16,17,11,14,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Gerard Pique,Spain,ESP,23,280,100,5,�52M,15,15,13,15,16,9,10,15,15,15,18,9,16,11,14,17,15,18,15,16,16,8,13,10,15,7,16,8,8,16,15,16,13,14,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Jordi Alba,Spain,ESP,21,268,64,8,�47.5M,9,17,15,13,6,15,15,16,14,15,12,18,10,13,16,15,12,12,15,15,15,12,13,12,16,10,5,10,12,11,14,13,10,15,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Koke,Spain,ESP,31,286,42,0,�52M,12,15,13,14,9,15,13,16,15,17,15,15,14,10,16,15,17,15,15,15,14,16,13,13,15,14,9,14,6,13,14,16,10,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Pepe Reina,Spain,ESP,0,572,36,0,�5.5M,17,13,10,12,13,13,15,10,14,13,12,3,16,2,15,11,11,18,15,17,12,9,2,2,13,12,10,2,1,3,2,15,2,10,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,David De Gea,Spain,ESP,0,297,31,0,�52M,14,12,13,17,15,11,17,9,6,10,16,10,8,5,17,15,16,16,15,17,13,8,1,2,14,13,2,1,3,3,3,12,6,5,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thiago Alcantara,Spain,ESP,19,199,30,2,�59M,7,15,11,11,7,13,18,15,19,10,12,13,8,18,11,13,10,18,8,16,19,15,17,13,19,13,12,14,5,9,12,18,13,15,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Isco,Spain,ESP,55,252,30,10,�70M,12,13,13,10,8,17,14,11,19,13,11,14,13,18,16,16,14,15,8,15,19,15,18,13,18,14,9,15,8,5,8,17,15,10,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nacho Monreal,Spain,ESP,5,299,22,1,�19.25M,12,16,14,14,12,13,13,15,10,16,15,12,8,6,14,15,16,15,15,15,13,7,12,7,12,7,15,7,14,15,16,12,7,14,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Cesar Azpilicueta,Spain,ESP,6,333,22,0,�44M,10,18,14,17,9,12,14,20,11,17,15,12,15,8,16,15,15,14,16,15,13,8,9,6,11,7,9,10,11,14,16,10,8,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Diego Costa,Spain,ESP,130,318,22,9,�52M,17,14,15,10,14,14,12,18,14,17,6,17,13,15,19,15,13,14,20,16,12,11,12,15,15,11,15,11,7,4,7,12,15,20,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nacho Fernandez,Spain,ESP,10,253,18,1,�30.5M,14,15,15,15,11,14,12,16,11,17,15,12,13,9,14,14,17,13,13,15,10,7,10,10,13,8,14,8,12,14,16,13,7,15,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Dani Carvajal,Spain,ESP,6,201,16,0,�45.5M,12,18,14,16,8,17,14,19,12,17,12,17,13,12,16,12,15,13,18,14,12,11,12,8,13,8,10,9,13,14,15,13,9,17,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marco Asensio,Spain,ESP,17,127,13,0,�52M,11,14,15,15,10,11,15,12,15,12,9,12,9,17,15,15,10,16,10,14,18,15,17,18,17,15,8,18,7,5,8,16,14,10,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Iago Aspas,Spain,ESP,92,316,11,5,�34M,9,14,15,15,12,13,14,16,14,11,12,16,10,15,15,14,14,14,15,15,15,13,15,16,16,17,14,14,7,6,7,14,16,12,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Saul Niguez,Spain,ESP,22,194,10,0,�35.5M,12,14,13,14,13,12,13,14,16,14,15,15,13,14,15,14,17,15,12,16,16,13,15,13,15,13,15,12,7,13,14,15,12,8,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Lucas Vazquez,Spain,ESP,26,204,9,0,�15.25M,9,15,14,14,7,15,15,16,12,13,10,15,11,14,14,13,13,11,13,13,14,14,14,12,14,11,10,11,8,8,12,13,12,15,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Rodrigo Moreno,Spain,ESP,44,182,7,2,�14.5M,11,14,17,14,11,13,16,15,14,13,9,16,5,14,12,13,8,10,12,13,16,11,14,13,15,12,12,12,5,6,9,13,13,12,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Alvaro Odriozola,Spain,ESP,3,101,4,1,�13.75M,12,15,17,14,11,14,13,13,11,13,12,10,14,11,17,13,14,12,14,12,16,12,15,8,13,9,9,11,11,13,13,14,8,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Kepa Arrizabalaga,Spain,ESP,0,162,1,0,�12M,14,12,13,12,14,12,14,13,11,12,13,5,9,3,13,13,13,13,14,14,11,5,3,2,11,9,3,1,2,2,2,11,2,8,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Hugo Lloris,France,FRA,0,388,100,0,�43M,14,15,12,15,13,12,17,15,9,15,16,6,15,6,15,14,15,7,18,16,10,7,5,3,8,11,9,1,2,4,10,8,3,15,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Olivier Giroud,France,FRA,152,370,76,31,�28.5M,18,15,13,15,17,19,10,18,13,19,9,17,9,13,16,14,14,14,17,16,14,4,12,16,14,12,19,14,3,8,7,12,14,14,10
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Blaise Matuidi,France,FRA,29,400,69,9,�46.5M,15,18,14,16,9,16,14,18,10,18,16,16,13,8,16,15,17,15,16,16,13,6,12,10,13,6,12,12,8,15,16,13,9,14,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Paul Pogba,France,FRA,33,157,56,10,�66M,17,17,16,17,16,18,14,14,16,14,10,14,11,19,17,12,13,15,13,14,18,10,17,14,18,15,13,17,4,10,12,18,14,13,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Antoine Griezmann,France,FRA,107,291,56,21,�72M,10,13,14,15,9,15,15,15,15,12,10,18,14,17,17,15,15,14,13,15,17,14,17,18,19,15,15,14,4,5,11,14,13,13,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Raphael Varane,France,FRA,4,137,44,2,�53M,15,14,16,16,17,11,13,14,11,14,17,8,9,11,12,14,17,14,13,15,14,5,11,6,13,8,15,9,10,17,17,14,10,11,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Adil Rami,France,FRA,13,318,35,1,�9.5M,16,15,13,15,16,16,12,16,11,15,14,10,10,7,16,12,13,13,17,15,12,5,9,8,10,7,16,11,9,15,16,13,5,17,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Steve Mandanda,France,FRA,0,410,27,0,�13.5M,14,15,11,12,13,14,17,8,8,13,13,2,15,8,14,12,12,16,15,12,10,7,8,5,9,12,8,12,3,3,1,9,7,6,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,N'Golo Kante,France,FRA,19,202,26,1,�49.5M,13,20,15,18,7,15,14,20,14,20,15,13,5,13,15,12,15,14,15,17,14,6,11,7,12,8,10,11,6,12,20,12,9,15,17
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Samuel Umtiti,France,FRA,4,156,21,2,�48M,17,15,15,15,13,14,14,15,11,16,17,10,11,8,15,14,16,17,15,18,14,4,10,6,14,7,16,10,9,16,17,14,8,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Kylian Mbappe,France,FRA,16,40,18,4,�53M,10,12,17,14,9,12,16,12,13,13,5,17,8,18,14,13,12,14,12,12,17,11,17,14,15,12,8,12,2,3,3,13,15,10,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Djibril Sidibe,France,FRA,10,166,17,1,�17M,15,15,15,14,12,14,13,15,13,14,13,15,12,14,15,13,12,11,13,14,13,10,14,9,14,13,12,10,13,14,15,14,12,13,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ousmane Dembele,France,FRA,18,58,14,2,�52M,8,13,18,14,9,10,16,10,13,8,6,14,5,17,12,11,10,10,7,11,16,14,17,14,15,11,7,13,6,4,5,12,11,10,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nabil Fekir,France,FRA,27,86,14,2,�29M,15,14,15,15,5,15,16,13,17,12,7,12,15,16,16,15,13,15,9,13,17,15,16,15,16,14,5,13,4,4,4,16,14,9,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thomas Lemar,France,FRA,15,92,12,3,�19.5M,9,14,15,14,7,11,16,15,15,14,9,13,9,16,15,14,12,13,11,12,17,17,16,13,16,17,6,14,2,7,6,16,14,9,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Corentin Tolisso,France,FRA,21,116,10,0,�30M,14,17,13,17,12,15,13,17,13,18,12,16,11,11,16,14,12,15,15,12,14,8,10,13,14,8,15,14,10,12,12,15,9,16,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Benjamin Pavard,France,FRA,1,42,8,0,�3.8M,12,13,11,12,14,13,11,9,13,16,15,7,11,9,13,14,11,17,14,16,14,5,10,7,12,5,13,9,10,14,13,14,10,14,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Lucas Hernandez,France,FRA,1,43,7,0,�6.25M,14,15,14,12,12,12,13,13,10,13,13,9,13,10,8,13,12,13,15,14,12,7,9,8,11,6,14,6,6,15,15,12,7,15,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Benjamin Mendy,France,FRA,2,163,7,0,�22.5M,17,15,16,14,13,15,14,16,12,14,13,15,12,13,14,13,12,10,14,13,13,11,14,8,13,9,11,11,15,13,14,14,10,15,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Steven N'Zonzi,France,FRA,16,295,5,0,�15.25M,16,16,13,18,17,15,11,13,15,13,16,12,11,15,13,15,14,17,15,15,15,4,9,7,15,10,15,11,9,13,13,16,8,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Florian Thauvin,France,FRA,40,180,4,0,�23.5M,10,15,15,14,9,13,14,14,14,13,6,14,6,16,12,13,12,14,12,13,16,10,16,16,16,11,8,15,5,3,5,14,12,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Presnel Kimpembe,France,FRA,0,26,2,0,�7.5M,13,15,14,15,13,15,14,14,10,15,14,10,8,8,14,13,15,15,15,14,13,4,10,7,13,6,14,6,9,14,15,13,8,16,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Alphonse Areola,France,FRA,0,119,0,0,�16.25M,17,15,12,15,15,17,14,10,9,14,13,8,9,8,14,13,15,14,14,13,9,10,3,1,10,12,2,12,2,2,3,10,3,8,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Thomas Muller,Germany,GER,112,292,92,38,�58M,11,19,14,19,12,15,13,18,14,17,10,20,12,15,18,16,18,16,13,19,12,7,11,15,13,7,12,10,10,7,8,12,15,18,12
